                                              Dest      17kW      10kW      64kW      21kW       8kW      11kW      14kW      40kW      16kW      13kW       6kW      20kW
                        The Fairmont San Francisco         0         0         0         0         0         0         0         0         0         2         0         0
                                      Vintners Inn         0         0         0         0         0         0         0         0         0         1         0         0
                          Kirkwood Mountain Resort         0         0         0         0         0         0         0         0         6         0         0         0
                             Grande Colonial Hotel         0         0         0         0         2         0         0         0         0         0         0         0
                              The Esalen Institute         0         0         0         0         0         0         0         0         2         0         0         0
                                Dry Creek Vineyard         0         0         0         0         0         0         0         0         0         0         0         3
                                 River Terrace Inn         0         0         0         0         0         0         0         0         0         2         0         0
                                   River Belle Inn         0         2         0         0         0         0         0         0         0         0         0         0
Las Alcobas, A Luxury Collection Hotel, Napa Valley         0         0         0         0         0         0         0         0         3         0         0         0
                                 Northstar Village         0         0         0         0         0         0         0         0         2         0         0         0
                      The Village Lodge at Mammoth         0         0         0         0         0         0         0         0         4         0         0         0
               Signature Flight Support - San Jose         0         0         0         0         0         0         0         0         4         0         0         0
                                  The Madison Club         0         0         0         0         0         0         0         0         3         0         0         0
         JW Marriott Desert Springs Resort and Spa         0         0         0         0         0         4         0         0         0         0         0         0
                                    Longoria Wines         0         0         0         0         0         0         0         0         1         0         0         0
            Hyatt Regency Mission Bay Spa & Marina         0         0         0         0         0         0         0         0         2         0         0         0
                          Marriott Irvine Spectrum         0         1         0         0         0         0         0         0         0         0         0         0
                            Luxe Sunset Blvd Hotel         0         0         0         0         0         0         0         0         2         0         0         0
                                     Chateau Diana         0         0         0         0         0         0         0         0         0         2         0         0
                    Homewood Suites Anaheim Resort         0         0         0         0         2         0         0         0         0         0         0         0
                                 Pasea Hotel & Spa         0         0         0         0         0         0         0         0         2         0         0         0
                               REST Hotel Plymouth         0         0         0         0         1         0         0         0         0         0         0         0
                                             SPACE         0         0         0         0         4         0         0         0         0         0         0         0
                                   O'Brien Estates         0         0         0         0         2         0         0         0         0         0         0         0
                               Bacara Resort & Spa         0         0         0         0         0         0         0         0         0         0         2         0
                                 Grand Vista Hotel         0         0         0         0         0         0         0         0         2         0         0         0
                            Red Lion Hotel Redding         0         0         0         0         2         0         0         0         0         0         0         0
                                    Trattore Farms         0         0         0         0         0         0         0         0         2         0         0         0
                                  Hotel Healdsburg         0         0         0         0         1         0         0         0         0         0         0         0
                                      Kon Tiki Inn         0         0         0         0         0         0         0         0         1         0         0         0
                        Marriott TownePlace Suites         0         0         0         0         0         0         0         0         0         1         0         0
                              Hyatt Westlake Plaza         0         0         0         0         0         0         0         0         0         2         0         0
                           Best Western Seven Seas         0         0         0         0         0         0         0         0         1         0         0         0
                                 Round Pond Winery         0         0         0         0         0         0         0         0         0         2         0         0
                             The Fairmont San Jose         0         0         0         0         0         0         0         0         0         2         0         0
                                   Pessagno Winery         0         0         0         0         1         0         0         0         0         0         0         0
                          Chateau Montelena Winery         0         0         0         3         0         0         0         0         0         0         0         0
                                   Hotel Los Gatos         0         0         0         0         0         0         0         0         2         0         0         0
